iter	Passed	Remaining
0	1	125
1	2	117
2	3	108
3	4	99
4	5	102
5	6	105
6	8	108
7	9	107
8	10	104
9	11	102
10	12	101
11	14	102
12	14	100
13	16	99
14	17	97
15	18	96
16	19	95
17	20	95
18	21	93
19	23	92
20	24	91
21	25	89
22	26	87
23	27	86
24	28	85
25	29	83
26	30	82
27	31	81
28	32	79
29	33	78
30	34	76
31	35	74
32	36	73
33	36	71
34	37	70
35	38	68
36	39	66
37	40	65
38	41	64
39	41	62
40	42	61
41	43	59
42	43	58
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	65	30
68	66	29
69	66	28
70	67	27
71	68	26
72	69	25
73	69	24
74	70	23
75	71	22
76	72	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
